context,label
Museum interior,No fire
Fire burning in a candle indoors,Controlled fire
A cozy room with a grill,Controlled fire
Fire destroying property in the roof,Dangerous fire
A cozy room with a campfire,Controlled fire
A peaceful beach,No fire
Cooking using a fireplace,Controlled fire
Fire burning through the ceiling,Dangerous fire
Cooking using a fireplace,Controlled fire
Empty hallway,No fire
Fire on the office,Dangerous fire
A cozy room with a campfire,Controlled fire
Large flames engulfing the roof,Dangerous fire
Children blowing out a stove,Controlled fire
Outdoor evening with a bonfire,Controlled fire
Fire used for warmth in a birthday cake,Controlled fire
Uncontrolled fire spreading in the living room,Dangerous fire
A birthday cake is lit in the dark,Controlled fire
A peaceful beach,No fire
Empty hallway,No fire
A grill glowing at night,Controlled fire
Fire on the wall,Dangerous fire
A oil lamp is lit in the dark,Controlled fire
A cozy room with a fireplace,Controlled fire
Fire on the wall,Dangerous fire
A house in Paris,No fire
Uncontrolled fire spreading in the garage,Dangerous fire
A dog playing in the yard,No fire
Fire burning through the living room,Dangerous fire
Outdoor evening with a oil lamp,Controlled fire
A peaceful beach,No fire
A birthday cake is lit in the dark,Controlled fire
Fire used for warmth in a lantern,Controlled fire
People escaping a fire in the living room,Dangerous fire
Fire detected near the gas station,Dangerous fire
Outdoor evening with a lantern,Controlled fire
Fire destroying property in the trash bin,Dangerous fire
Fire burning through the gas station,Dangerous fire
Fire on the ceiling,Dangerous fire
Cooking using a lantern,Controlled fire
Smoke and fire seen in the wall,Dangerous fire
Fire detected near the roof,Dangerous fire
Fire burning in a birthday cake indoors,Controlled fire
Fire inside a fireplace in a home,Controlled fire
A fireplace glowing at night,Controlled fire
Explosions caused by fire in the office,Dangerous fire
A closed restaurant,No fire
People walking in the city,No fire
Cooking using a stove,Controlled fire
A grill is lit in the dark,Controlled fire
Cooking using a grill,Controlled fire
Smoke and fire seen in the garage,Dangerous fire
A oil lamp is lit in the dark,Controlled fire
Children blowing out a bonfire,Controlled fire
Busy airport,No fire
Fire detected near the living room,Dangerous fire
Fire burning through the trash bin,Dangerous fire
Smoke and fire seen in the kitchen,Dangerous fire
Fire on a lantern during a celebration,Controlled fire
Emergency in the kitchen due to fire,Dangerous fire
Uncontrolled fire spreading in the gas station,Dangerous fire
Dark alley,No fire
A classroom with students,No fire
Fire detected near the vehicle,Dangerous fire
Fire inside a match stick in a home,Controlled fire
People escaping a fire in the garage,Dangerous fire
Fire on the trash bin,Dangerous fire
Fire inside a match stick in a home,Controlled fire
Morning traffic,No fire
Fire on a candle during a celebration,Controlled fire
People escaping a fire in the living room,Dangerous fire
Uncontrolled fire spreading in the trash bin,Dangerous fire
Busy airport,No fire
A candle is lit in the dark,Controlled fire
Fire on the vehicle,Dangerous fire
Museum interior,No fire
Fire burning through the kitchen,Dangerous fire
Crowded mall,No fire
Bus station,No fire
Emergency in the office due to fire,Dangerous fire
Explosions caused by fire in the garage,Dangerous fire
A cozy room with a match stick,Controlled fire
Outdoor evening with a match stick,Controlled fire
Uncontrolled fire spreading in the gas station,Dangerous fire
A park in spring,No fire
Bus station,No fire
Fire inside a birthday cake in a home,Controlled fire
Children blowing out a birthday cake,Controlled fire
A closed restaurant,No fire
Emergency in the living room due to fire,Dangerous fire
Cooking using a birthday cake,Controlled fire
Emergency in the roof due to fire,Dangerous fire
Children blowing out a grill,Controlled fire
People escaping a fire in the forest,Dangerous fire
Fire burning in a candle indoors,Controlled fire
Fire used for warmth in a stove,Controlled fire
Empty hallway,No fire
Explosions caused by fire in the roof,Dangerous fire
People escaping a fire in the vehicle,Dangerous fire
Morning traffic,No fire
Fire burning in a oil lamp indoors,Controlled fire
Fire used for warmth in a campfire,Controlled fire
A peaceful beach,No fire
Uncontrolled fire spreading in the garage,Dangerous fire
Fire destroying property in the office,Dangerous fire
A snowy mountain,No fire
People escaping a fire in the roof,Dangerous fire
Fire detected near the wall,Dangerous fire
Fire on a stove during a celebration,Controlled fire
Fire burning in a bonfire indoors,Controlled fire
Fire burning in a birthday cake indoors,Controlled fire
Fire on a bonfire during a celebration,Controlled fire
A park in spring,No fire
Fire burning through the vehicle,Dangerous fire
People walking in the city,No fire
A fireplace glowing at night,Controlled fire
A peaceful beach,No fire
Explosions caused by fire in the kitchen,Dangerous fire
Fire burning through the wall,Dangerous fire
Explosions caused by fire in the office,Dangerous fire
Cooking using a birthday cake,Controlled fire
Fire used for warmth in a candle,Controlled fire
Cooking using a grill,Controlled fire
Uncontrolled fire spreading in the forest,Dangerous fire
Large flames engulfing the garage,Dangerous fire
People escaping a fire in the bed,Dangerous fire
Fire burning through the curtains,Dangerous fire
Outdoor evening with a match stick,Controlled fire
Outdoor evening with a candle,Controlled fire
Fire burning through the bed,Dangerous fire
A cozy room with a stove,Controlled fire
Fire burning in a birthday cake indoors,Controlled fire
Children blowing out a grill,Controlled fire
People walking in the city,No fire
Fire detected near the bed,Dangerous fire
Cooking using a match stick,Controlled fire
Fire inside a oil lamp in a home,Controlled fire
Large flames engulfing the ceiling,Dangerous fire
Outdoor evening with a campfire,Controlled fire
Bus station,No fire
Children reading books,No fire
A train arriving,No fire
Children blowing out a birthday cake,Controlled fire
Fire detected near the bed,Dangerous fire
A snowy mountain,No fire
A stove is lit in the dark,Controlled fire
Smoke and fire seen in the ceiling,Dangerous fire
Cooking using a birthday cake,Controlled fire
People escaping a fire in the kitchen,Dangerous fire
Fire used for warmth in a oil lamp,Controlled fire
Fire on the curtains,Dangerous fire
Fire destroying property in the roof,Dangerous fire
Fire inside a stove in a home,Controlled fire
Fire burning in a bonfire indoors,Controlled fire
Cooking using a oil lamp,Controlled fire
A snowy mountain,No fire
Fire burning through the forest,Dangerous fire
Children reading books,No fire
Children blowing out a birthday cake,Controlled fire
A match stick is lit in the dark,Controlled fire
Children blowing out a oil lamp,Controlled fire
A cozy room with a candle,Controlled fire
Smoke and fire seen in the living room,Dangerous fire
Fire detected near the garage,Dangerous fire
Fire burning in a lantern indoors,Controlled fire
People escaping a fire in the garage,Dangerous fire
Cooking using a fireplace,Controlled fire
Fire detected near the kitchen,Dangerous fire
Fire burning in a fireplace indoors,Controlled fire
Fire used for warmth in a campfire,Controlled fire
A snowy mountain,No fire
Fire burning through the office,Dangerous fire
Fire burning in a candle indoors,Controlled fire
Uncontrolled fire spreading in the garage,Dangerous fire
Fire on the living room,Dangerous fire
Fire inside a stove in a home,Controlled fire
Fire burning in a lantern indoors,Controlled fire
Fire detected near the roof,Dangerous fire
A lantern glowing at night,Controlled fire
Explosions caused by fire in the garage,Dangerous fire
A cozy room with a birthday cake,Controlled fire
Outdoor evening with a birthday cake,Controlled fire
Fire burning in a match stick indoors,Controlled fire
Fire used for warmth in a candle,Controlled fire
Cooking using a birthday cake,Controlled fire
Dark alley,No fire
Smoke and fire seen in the forest,Dangerous fire
Morning traffic,No fire
Outdoor evening with a oil lamp,Controlled fire
A dog playing in the yard,No fire
Large flames engulfing the curtains,Dangerous fire
Uncontrolled fire spreading in the forest,Dangerous fire
Fire burning through the trash bin,Dangerous fire
Fire detected near the wall,Dangerous fire
Fire inside a oil lamp in a home,Controlled fire
Cooking using a bonfire,Controlled fire
Emergency in the living room due to fire,Dangerous fire
Explosions caused by fire in the living room,Dangerous fire
Sunset over the ocean,No fire
Emergency in the living room due to fire,Dangerous fire
Fire used for warmth in a fireplace,Controlled fire
A classroom with students,No fire
Bus station,No fire
Fire burning in a fireplace indoors,Controlled fire
Large flames engulfing the wall,Dangerous fire
Children blowing out a bonfire,Controlled fire
Fire destroying property in the vehicle,Dangerous fire
A candle glowing at night,Controlled fire
Fire burning in a campfire indoors,Controlled fire
Large flames engulfing the gas station,Dangerous fire
Fire burning through the trash bin,Dangerous fire
A lantern is lit in the dark,Controlled fire
Explosions caused by fire in the ceiling,Dangerous fire
Fire burning through the roof,Dangerous fire
Large flames engulfing the curtains,Dangerous fire
Fire on a fireplace during a celebration,Controlled fire
Explosions caused by fire in the living room,Dangerous fire
Crowded mall,No fire
People walking in the city,No fire
Fire destroying property in the trash bin,Dangerous fire
Explosions caused by fire in the gas station,Dangerous fire
Fire destroying property in the curtains,Dangerous fire
Fire detected near the garage,Dangerous fire
Fire on a grill during a celebration,Controlled fire
Fire destroying property in the gas station,Dangerous fire
Emergency in the ceiling due to fire,Dangerous fire
Fire on the ceiling,Dangerous fire
Fire used for warmth in a birthday cake,Controlled fire
Outdoor evening with a campfire,Controlled fire
Fire destroying property in the garage,Dangerous fire
Fire burning in a fireplace indoors,Controlled fire
Sunset over the ocean,No fire
Uncontrolled fire spreading in the kitchen,Dangerous fire
Fire used for warmth in a match stick,Controlled fire
Children reading books,No fire
A candle glowing at night,Controlled fire
Children blowing out a oil lamp,Controlled fire
People escaping a fire in the kitchen,Dangerous fire
People escaping a fire in the forest,Dangerous fire
Fire on a grill during a celebration,Controlled fire
Fire used for warmth in a oil lamp,Controlled fire
Fire inside a grill in a home,Controlled fire
Children blowing out a lantern,Controlled fire
Smoke and fire seen in the wall,Dangerous fire
Large flames engulfing the kitchen,Dangerous fire
Cooking using a lantern,Controlled fire
Cooking using a lantern,Controlled fire
Cooking using a bonfire,Controlled fire
A park in spring,No fire
Fire burning in a birthday cake indoors,Controlled fire
A campfire is lit in the dark,Controlled fire
Outdoor evening with a oil lamp,Controlled fire
Uncontrolled fire spreading in the vehicle,Dangerous fire
Large flames engulfing the vehicle,Dangerous fire
A stove is lit in the dark,Controlled fire
Fire detected near the roof,Dangerous fire
Fire used for warmth in a campfire,Controlled fire
Fire destroying property in the gas station,Dangerous fire
Fire on the gas station,Dangerous fire
Fire used for warmth in a grill,Controlled fire
People escaping a fire in the roof,Dangerous fire
Emergency in the trash bin due to fire,Dangerous fire
A train arriving,No fire
A dog playing in the yard,No fire
Uncontrolled fire spreading in the curtains,Dangerous fire
Emergency in the curtains due to fire,Dangerous fire
Fire burning in a oil lamp indoors,Controlled fire
Smoke and fire seen in the trash bin,Dangerous fire
Uncontrolled fire spreading in the office,Dangerous fire
Fire on the curtains,Dangerous fire
Fire burning through the ceiling,Dangerous fire
Morning traffic,No fire
Fire on the garage,Dangerous fire
A campfire is lit in the dark,Controlled fire
Emergency in the living room due to fire,Dangerous fire
Fire inside a candle in a home,Controlled fire
Uncontrolled fire spreading in the curtains,Dangerous fire
Fire detected near the forest,Dangerous fire
Uncontrolled fire spreading in the wall,Dangerous fire
Cooking using a oil lamp,Controlled fire
Outdoor evening with a fireplace,Controlled fire
Emergency in the living room due to fire,Dangerous fire
A match stick is lit in the dark,Controlled fire
Explosions caused by fire in the living room,Dangerous fire
Fire destroying property in the bed,Dangerous fire
Children blowing out a grill,Controlled fire
Dark alley,No fire
Emergency in the kitchen due to fire,Dangerous fire
Fire burning through the wall,Dangerous fire
A street market,No fire
Fire burning in a candle indoors,Controlled fire
A person working on a laptop,No fire
Uncontrolled fire spreading in the office,Dangerous fire
Fire detected near the garage,Dangerous fire
Fire inside a campfire in a home,Controlled fire
Explosions caused by fire in the vehicle,Dangerous fire
Explosions caused by fire in the vehicle,Dangerous fire
Fire on a bonfire during a celebration,Controlled fire
Fire on a grill during a celebration,Controlled fire
A person working on a laptop,No fire
Crowded mall,No fire
Explosions caused by fire in the ceiling,Dangerous fire
Cooking using a match stick,Controlled fire
A street market,No fire
Fire on a fireplace during a celebration,Controlled fire
Fire on a bonfire during a celebration,Controlled fire
Large flames engulfing the trash bin,Dangerous fire
Crowded mall,No fire
Uncontrolled fire spreading in the garage,Dangerous fire
Morning traffic,No fire
Children reading books,No fire
Smoke and fire seen in the bed,Dangerous fire
A park in spring,No fire
A dog playing in the yard,No fire
Fire destroying property in the office,Dangerous fire
Cooking using a campfire,Controlled fire
Children blowing out a fireplace,Controlled fire
Fire burning through the kitchen,Dangerous fire
A fireplace is lit in the dark,Controlled fire
A lantern glowing at night,Controlled fire
Children blowing out a oil lamp,Controlled fire
A cozy room with a candle,Controlled fire
Fire inside a oil lamp in a home,Controlled fire
Fire used for warmth in a candle,Controlled fire
Fire used for warmth in a lantern,Controlled fire
Emergency in the wall due to fire,Dangerous fire
Outdoor evening with a grill,Controlled fire
Crowded mall,No fire
A park in spring,No fire
Fire detected near the forest,Dangerous fire
Uncontrolled fire spreading in the roof,Dangerous fire
Emergency in the garage due to fire,Dangerous fire
Museum interior,No fire
People escaping a fire in the trash bin,Dangerous fire
Fire destroying property in the garage,Dangerous fire
Fire burning through the trash bin,Dangerous fire
A closed restaurant,No fire
Uncontrolled fire spreading in the trash bin,Dangerous fire
A park in spring,No fire
Explosions caused by fire in the forest,Dangerous fire
Sunset over the ocean,No fire
Outdoor evening with a stove,Controlled fire
Smoke and fire seen in the vehicle,Dangerous fire
Fire burning through the bed,Dangerous fire
Emergency in the office due to fire,Dangerous fire
Emergency in the office due to fire,Dangerous fire
People escaping a fire in the forest,Dangerous fire
People escaping a fire in the gas station,Dangerous fire
Fire used for warmth in a candle,Controlled fire
Fire destroying property in the ceiling,Dangerous fire
Large flames engulfing the garage,Dangerous fire
Fire on a grill during a celebration,Controlled fire
Fire burning through the office,Dangerous fire
A cozy room with a match stick,Controlled fire
A campfire is lit in the dark,Controlled fire
A oil lamp is lit in the dark,Controlled fire
Explosions caused by fire in the roof,Dangerous fire
Emergency in the curtains due to fire,Dangerous fire
Morning traffic,No fire
Fire detected near the gas station,Dangerous fire
Uncontrolled fire spreading in the kitchen,Dangerous fire
A park in spring,No fire
Dark alley,No fire
Children blowing out a birthday cake,Controlled fire
Explosions caused by fire in the wall,Dangerous fire
Fire used for warmth in a oil lamp,Controlled fire
Children blowing out a bonfire,Controlled fire
Fire burning in a candle indoors,Controlled fire
Explosions caused by fire in the living room,Dangerous fire
Emergency in the office due to fire,Dangerous fire
A classroom with students,No fire
Fire destroying property in the forest,Dangerous fire
Busy airport,No fire
A cozy room with a match stick,Controlled fire
A closed restaurant,No fire
A cozy room with a birthday cake,Controlled fire
Cooking using a lantern,Controlled fire
Large flames engulfing the trash bin,Dangerous fire
A dog playing in the yard,No fire
A classroom with students,No fire
Fire inside a candle in a home,Controlled fire
A closed restaurant,No fire
Fire detected near the garage,Dangerous fire
Fire used for warmth in a bonfire,Controlled fire
Explosions caused by fire in the garage,Dangerous fire
Smoke and fire seen in the vehicle,Dangerous fire
A snowy mountain,No fire
Cooking using a oil lamp,Controlled fire
Fire detected near the office,Dangerous fire
Explosions caused by fire in the gas station,Dangerous fire
A match stick is lit in the dark,Controlled fire
Outdoor evening with a stove,Controlled fire
Fire burning through the forest,Dangerous fire
Fire on the roof,Dangerous fire
A lantern is lit in the dark,Controlled fire
Uncontrolled fire spreading in the ceiling,Dangerous fire
A closed restaurant,No fire
A person working on a laptop,No fire
A birthday cake is lit in the dark,Controlled fire
Fire detected near the living room,Dangerous fire
Uncontrolled fire spreading in the living room,Dangerous fire
Large flames engulfing the wall,Dangerous fire
A match stick glowing at night,Controlled fire
Explosions caused by fire in the wall,Dangerous fire
Uncontrolled fire spreading in the bed,Dangerous fire
Children reading books,No fire
Empty hallway,No fire
Smoke and fire seen in the forest,Dangerous fire
People escaping a fire in the trash bin,Dangerous fire
Emergency in the garage due to fire,Dangerous fire
A cozy room with a campfire,Controlled fire
Fire inside a fireplace in a home,Controlled fire
People escaping a fire in the garage,Dangerous fire
Emergency in the vehicle due to fire,Dangerous fire
A dog playing in the yard,No fire
Fire on the gas station,Dangerous fire
A person working on a laptop,No fire
A cozy room with a fireplace,Controlled fire
Outdoor evening with a stove,Controlled fire
Fire inside a lantern in a home,Controlled fire
Fire destroying property in the roof,Dangerous fire
Explosions caused by fire in the vehicle,Dangerous fire
People escaping a fire in the gas station,Dangerous fire
Uncontrolled fire spreading in the bed,Dangerous fire
Cooking using a campfire,Controlled fire
Fire used for warmth in a grill,Controlled fire
A fireplace is lit in the dark,Controlled fire
Smoke and fire seen in the living room,Dangerous fire
Fire burning in a fireplace indoors,Controlled fire
Outdoor evening with a bonfire,Controlled fire
Uncontrolled fire spreading in the roof,Dangerous fire
A park in spring,No fire
Dark alley,No fire
Fire destroying property in the bed,Dangerous fire
Fire inside a oil lamp in a home,Controlled fire
Fire burning through the trash bin,Dangerous fire
Fire on a campfire during a celebration,Controlled fire
Large flames engulfing the curtains,Dangerous fire
Busy airport,No fire
Empty hallway,No fire
Crowded mall,No fire
Explosions caused by fire in the forest,Dangerous fire
Emergency in the garage due to fire,Dangerous fire
A cozy room with a birthday cake,Controlled fire
Fire inside a oil lamp in a home,Controlled fire
People escaping a fire in the office,Dangerous fire
A grill glowing at night,Controlled fire
Fire detected near the curtains,Dangerous fire
Explosions caused by fire in the curtains,Dangerous fire
Fire burning through the forest,Dangerous fire
People escaping a fire in the forest,Dangerous fire
Fire detected near the trash bin,Dangerous fire
Children blowing out a candle,Controlled fire
Fire detected near the garage,Dangerous fire
Museum interior,No fire
Explosions caused by fire in the trash bin,Dangerous fire
Cooking using a campfire,Controlled fire
Smoke and fire seen in the curtains,Dangerous fire
Fire on a birthday cake during a celebration,Controlled fire
Fire on the vehicle,Dangerous fire
Children blowing out a bonfire,Controlled fire
A fireplace is lit in the dark,Controlled fire
Fire burning in a bonfire indoors,Controlled fire
Cooking using a oil lamp,Controlled fire
Large flames engulfing the vehicle,Dangerous fire
Crowded mall,No fire
Uncontrolled fire spreading in the forest,Dangerous fire
Empty hallway,No fire
Morning traffic,No fire
Fire detected near the kitchen,Dangerous fire
Cooking using a grill,Controlled fire
Fire destroying property in the kitchen,Dangerous fire
A snowy mountain,No fire
Large flames engulfing the living room,Dangerous fire
Children blowing out a grill,Controlled fire
Fire on the gas station,Dangerous fire
Morning traffic,No fire
A street market,No fire
A bonfire is lit in the dark,Controlled fire
A closed restaurant,No fire
A cozy room with a birthday cake,Controlled fire
Cooking using a fireplace,Controlled fire
A closed restaurant,No fire
People escaping a fire in the ceiling,Dangerous fire
Uncontrolled fire spreading in the living room,Dangerous fire
A person working on a laptop,No fire
Explosions caused by fire in the wall,Dangerous fire
Outdoor evening with a stove,Controlled fire
A match stick glowing at night,Controlled fire
Fire burning through the gas station,Dangerous fire
Fire inside a birthday cake in a home,Controlled fire
Fire destroying property in the forest,Dangerous fire
Fire burning in a match stick indoors,Controlled fire
People escaping a fire in the living room,Dangerous fire
A lantern is lit in the dark,Controlled fire
A candle glowing at night,Controlled fire
A classroom with students,No fire
Morning traffic,No fire
People walking in the city,No fire
A classroom with students,No fire
Emergency in the gas station due to fire,Dangerous fire
Fire used for warmth in a birthday cake,Controlled fire
Outdoor evening with a bonfire,Controlled fire
Smoke and fire seen in the trash bin,Dangerous fire
Cooking using a birthday cake,Controlled fire
A street market,No fire
Fire burning in a campfire indoors,Controlled fire
Sunset over the ocean,No fire
Uncontrolled fire spreading in the garage,Dangerous fire
A birthday cake is lit in the dark,Controlled fire
Fire destroying property in the living room,Dangerous fire
Fire on a bonfire during a celebration,Controlled fire
A train arriving,No fire
Fire destroying property in the ceiling,Dangerous fire
Uncontrolled fire spreading in the garage,Dangerous fire
Fire burning in a campfire indoors,Controlled fire
Large flames engulfing the forest,Dangerous fire
Fire burning in a fireplace indoors,Controlled fire
Fire detected near the bed,Dangerous fire
Fire burning through the curtains,Dangerous fire
Fire inside a oil lamp in a home,Controlled fire
Emergency in the bed due to fire,Dangerous fire
Fire on the trash bin,Dangerous fire
Fire destroying property in the roof,Dangerous fire
A train arriving,No fire
A peaceful beach,No fire
Fire on a match stick during a celebration,Controlled fire
A candle is lit in the dark,Controlled fire
Bus station,No fire
A cozy room with a bonfire,Controlled fire
Museum interior,No fire
Children blowing out a lantern,Controlled fire
A fireplace glowing at night,Controlled fire
Fire on a birthday cake during a celebration,Controlled fire
A match stick glowing at night,Controlled fire
A cozy room with a match stick,Controlled fire
A cozy room with a match stick,Controlled fire
Children blowing out a fireplace,Controlled fire
Smoke and fire seen in the curtains,Dangerous fire
A peaceful beach,No fire
Fire burning in a grill indoors,Controlled fire
Emergency in the trash bin due to fire,Dangerous fire
Fire detected near the kitchen,Dangerous fire
Fire detected near the vehicle,Dangerous fire
A snowy mountain,No fire
Fire detected near the vehicle,Dangerous fire
People escaping a fire in the roof,Dangerous fire
A peaceful beach,No fire
A stove is lit in the dark,Controlled fire
A cozy room with a bonfire,Controlled fire
People escaping a fire in the kitchen,Dangerous fire
Fire burning through the curtains,Dangerous fire
People escaping a fire in the roof,Dangerous fire
Emergency in the ceiling due to fire,Dangerous fire
Large flames engulfing the bed,Dangerous fire
A fireplace is lit in the dark,Controlled fire
A cozy room with a grill,Controlled fire
Uncontrolled fire spreading in the bed,Dangerous fire
Bus station,No fire
Fire burning through the gas station,Dangerous fire
Fire destroying property in the living room,Dangerous fire
A house in Paris,No fire
Crowded mall,No fire
A street market,No fire
Fire inside a birthday cake in a home,Controlled fire
Fire inside a campfire in a home,Controlled fire
Outdoor evening with a bonfire,Controlled fire
People escaping a fire in the gas station,Dangerous fire
Children blowing out a stove,Controlled fire
Large flames engulfing the kitchen,Dangerous fire
Fire on the vehicle,Dangerous fire
A cozy room with a birthday cake,Controlled fire
Large flames engulfing the living room,Dangerous fire
A closed restaurant,No fire
A person working on a laptop,No fire
Fire destroying property in the office,Dangerous fire
Fire burning through the kitchen,Dangerous fire
Fire used for warmth in a stove,Controlled fire
A closed restaurant,No fire
Fire on a campfire during a celebration,Controlled fire
A snowy mountain,No fire
A park in spring,No fire
Large flames engulfing the forest,Dangerous fire
Fire destroying property in the office,Dangerous fire
Cooking using a birthday cake,Controlled fire
Fire destroying property in the roof,Dangerous fire
Outdoor evening with a lantern,Controlled fire
A bonfire is lit in the dark,Controlled fire
Fire inside a campfire in a home,Controlled fire
Fire burning through the forest,Dangerous fire
Fire destroying property in the garage,Dangerous fire
Fire burning in a birthday cake indoors,Controlled fire
Cooking using a birthday cake,Controlled fire
Fire burning through the office,Dangerous fire
Fire burning in a grill indoors,Controlled fire
Large flames engulfing the wall,Dangerous fire
Cooking using a stove,Controlled fire
Uncontrolled fire spreading in the ceiling,Dangerous fire
Children blowing out a campfire,Controlled fire
Emergency in the trash bin due to fire,Dangerous fire
Fire used for warmth in a match stick,Controlled fire
A closed restaurant,No fire
A bonfire is lit in the dark,Controlled fire
Morning traffic,No fire
Emergency in the office due to fire,Dangerous fire
Uncontrolled fire spreading in the office,Dangerous fire
A person working on a laptop,No fire
Smoke and fire seen in the curtains,Dangerous fire
Outdoor evening with a match stick,Controlled fire
Sunset over the ocean,No fire
Fire destroying property in the living room,Dangerous fire
A cozy room with a bonfire,Controlled fire
Fire burning in a fireplace indoors,Controlled fire
Fire on a stove during a celebration,Controlled fire
Fire detected near the garage,Dangerous fire
Bus station,No fire
Explosions caused by fire in the gas station,Dangerous fire
A dog playing in the yard,No fire
A bonfire is lit in the dark,Controlled fire
Outdoor evening with a birthday cake,Controlled fire
Fire burning in a birthday cake indoors,Controlled fire
Fire on a fireplace during a celebration,Controlled fire
Fire on a match stick during a celebration,Controlled fire
Crowded mall,No fire
Cooking using a birthday cake,Controlled fire
Dark alley,No fire
Fire on the wall,Dangerous fire
Explosions caused by fire in the office,Dangerous fire
Empty hallway,No fire
Explosions caused by fire in the gas station,Dangerous fire
A grill is lit in the dark,Controlled fire
Bus station,No fire
A bonfire glowing at night,Controlled fire
